id,invoiceNo,orderId,cashierId,type,totalAmount,totalCost,taxAmount,bufferRate,priceConfiguration,invoiceType,ptuNumber,ptuIssuedAt
kln-txn-012,SI-KNL-2024-001012,kln-ord-012,kln-cash-2,SALE,45000,16400,4821,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-013,SI-KNL-2024-001013,kln-ord-013,kln-cash-1,SALE,38000,13200,4071,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-014,SI-KNL-2024-001014,kln-ord-014,kln-cash-2,SALE,162000,70000,17357,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-015,SI-KNL-2024-001015,kln-ord-015,kln-cash-1,SALE,87000,36400,9321,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-016,SI-KNL-2024-001016,kln-ord-016,kln-cash-2,SALE,73000,27200,7821,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-017,SI-KNL-2024-001017,kln-ord-017,kln-cash-1,SALE,44000,16000,4714,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-018,SI-KNL-2024-001018,kln-ord-018,kln-cash-2,SALE,78000,33600,8357,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-019,SI-KNL-2024-001019,kln-ord-019,kln-cash-1,SALE,188000,60400,20143,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-020,SI-KNL-2024-001020,kln-ord-020,kln-cash-2,SALE,35000,11400,3750,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-021,SI-KNL-2024-001021,kln-ord-021,kln-cash-1,SALE,72500,30900,7768,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-022,SI-KNL-2024-001022,kln-ord-022,kln-cash-2,SALE,54000,20800,5786,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-023,SI-KNL-2024-001023,kln-ord-023,kln-cash-1,SALE,52000,18800,5571,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-024,SI-KNL-2024-001024,kln-ord-024,kln-cash-2,SALE,64500,24200,6911,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-025,SI-KNL-2024-001025,kln-ord-025,kln-cash-1,SALE,83500,34900,8946,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-026,SI-KNL-2024-001026,kln-ord-026,kln-cash-2,SALE,40000,13400,4286,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-027,SI-KNL-2024-001027,kln-ord-027,kln-cash-1,SALE,61500,22800,6589,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-028,SI-KNL-2024-001028,kln-ord-028,kln-cash-2,SALE,76500,28200,8196,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-029,SI-KNL-2024-001029,kln-ord-029,kln-cash-1,SALE,57000,19800,6107,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-030,SI-KNL-2024-001030,kln-ord-030,kln-cash-2,SALE,135000,49600,14464,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-031,SI-KNL-2024-001031,kln-ord-031,kln-cash-1,SALE,113500,51900,12161,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
kln-txn-032,SI-KNL-2024-001032,kln-ord-032,kln-cash-2,SALE,24000,8700,2571,25,INCLUSIVE,SALES_INVOICE,PTU-2024-KNL-001,01/15/2024
