id,variantId,quantity,unitAbbreviation,batchNumber,costPrice,locationName
e2e-inv-low-stock,e2e-var-low-stock,3,pcs,E2E-LOW,1500,Main Stockroom
e2e-inv-no-stock,e2e-var-no-stock,0,pcs,E2E-NOSTOCK,2000,Main Stockroom
e2e-inv-with-recipe,e2e-var-with-recipe,50,pcs,E2E-RECIPE,8500,Main Stockroom
e2e-inv-with-addon,e2e-var-with-addon,50,pcs,E2E-ADDON,6000,Main Stockroom
e2e-inv-exempt,e2e-var-exempt,100,pcs,E2E-EXEMPT,1000,Main Stockroom
e2e-inv-zero-rated,e2e-var-zero-rated,100,pcs,E2E-ZRTD,2000,Main Stockroom
e2e-inv-catering-50,e2e-var-catering-pkg-50,10,pcs,E2E-CAT-50,320000,Main Stockroom
e2e-inv-catering-100,e2e-var-catering-pkg-100,5,pcs,E2E-CAT-100,600000,Main Stockroom
e2e-inv-setup-half,e2e-var-setup-svc-half,30,hr,E2E-SVC-H,0,Main Stockroom
e2e-inv-setup-full,e2e-var-setup-svc-full,30,hr,E2E-SVC-F,0,Main Stockroom
e2e-inv-rice,e2e-var-rice,10000,g,E2E-RICE,800,Prep Station
e2e-inv-raw-chicken,e2e-var-raw-chicken,50,kg,E2E-RCHKN,32000,Walk-In Chiller
e2e-inv-raw-pork,e2e-var-raw-pork,30,kg,E2E-RPORK,38000,Walk-In Chiller
e2e-inv-sauce,e2e-var-sauce,5000,ml,E2E-SAUCE,1500,Prep Station
e2e-inv-pearls,e2e-var-pearls,5000,g,E2E-PEARLS,500,Main Stockroom
e2e-inv-pasta-dry,e2e-var-pasta-dry,10000,g,E2E-PASTA-DRY,1200,Main Stockroom
e2e-inv-ground-beef,e2e-var-ground-beef,20,kg,E2E-BEEF,45000,Walk-In Chiller
e2e-inv-flour,e2e-var-flour,50,kg,E2E-FLOUR,5500,Main Stockroom
e2e-inv-oil,e2e-var-oil,10000,ml,E2E-OIL,900,Main Stockroom
e2e-inv-lemon,e2e-var-lemon,200,pcs,E2E-LEMON,1500,Walk-In Chiller
e2e-inv-syrup,e2e-var-syrup,5000,ml,E2E-SYRUP,600,Bar Counter
e2e-inv-addon-rice,e2e-var-addon-rice,10000,g,E2E-ARICE,800,Prep Station
e2e-inv-addon-egg,e2e-var-addon-egg,200,pcs,E2E-AEGG,700,Counter Freezer
e2e-inv-addon-cheese,e2e-var-addon-cheese,200,pcs,E2E-ACHZ,1200,Counter Freezer
e2e-inv-addon-bacon,e2e-var-addon-bacon,200,pcs,E2E-ABCN,2500,Counter Freezer
