id,orderId,variantId,quantity,unitPrice,unitCost,unitAbbreviation
fmrt-oi-014b,fmrt-ord-014,fmrt-var-sardines-155g,12,2800,1900,pcs
fmrt-oi-014c,fmrt-ord-014,fmrt-var-cornbeef-175g,6,5500,3800,pcs
fmrt-oi-015a,fmrt-ord-015,fmrt-var-chicken-parts,3,12500,8800,pcs
fmrt-oi-015b,fmrt-ord-015,fmrt-var-eggs-12pcs,2,10500,7800,pcs
fmrt-oi-015c,fmrt-ord-015,fmrt-var-coke-1.5L,3,7500,5200,pcs
fmrt-oi-016a,fmrt-ord-016,fmrt-var-rice-5kg,4,27500,22000,pcs
fmrt-oi-016b,fmrt-ord-016,fmrt-var-oil-2L,1,21500,15500,pcs
fmrt-oi-016c,fmrt-ord-016,fmrt-var-detergent-1kg,1,18500,13200,pcs
fmrt-oi-017a,fmrt-ord-017,fmrt-var-garlic-250g,2,6500,4500,pcs
fmrt-oi-017b,fmrt-ord-017,fmrt-var-onion-1kg,2,9500,6800,pcs
fmrt-oi-017c,fmrt-ord-017,fmrt-var-tomato-500g,3,3500,2200,pcs
fmrt-oi-017d,fmrt-ord-017,fmrt-var-soysauce-1L,2,7500,5200,pcs
fmrt-oi-018a,fmrt-ord-018,fmrt-var-shampoo-sachet,10,700,400,pcs
fmrt-oi-018b,fmrt-ord-018,fmrt-var-detergent-sachet,5,1200,700,pcs
fmrt-oi-018c,fmrt-ord-018,fmrt-var-soap-90g,6,3800,2600,pcs
fmrt-oi-019a,fmrt-ord-019,fmrt-var-sardines-155g,6,2800,1900,pcs
fmrt-oi-019b,fmrt-ord-019,fmrt-var-cornbeef-380g,3,11000,7800,pcs
fmrt-oi-019c,fmrt-ord-019,fmrt-var-coke-330ml,3,3500,2400,pcs
fmrt-oi-020a,fmrt-ord-020,fmrt-var-rice-dino-5kg,1,32500,26000,pcs
fmrt-oi-020b,fmrt-ord-020,fmrt-var-milk-1L,3,9500,7000,pcs
fmrt-oi-020c,fmrt-ord-020,fmrt-var-cheese-165g,2,7800,5500,pcs
fmrt-oi-021a,fmrt-ord-021,fmrt-var-hotdog-500g,3,11500,8200,pcs
fmrt-oi-021b,fmrt-ord-021,fmrt-var-chicken-parts,2,12500,8800,pcs
fmrt-oi-021c,fmrt-ord-021,fmrt-var-eggs-6pcs,3,5500,4000,pcs
fmrt-oi-022a,fmrt-ord-022,fmrt-var-piattos-cheese,5,3500,2300,pcs
fmrt-oi-022b,fmrt-ord-022,fmrt-var-piattos-sour,5,3500,2300,pcs
fmrt-oi-022c,fmrt-ord-022,fmrt-var-water-500ml,12,1200,700,pcs
fmrt-oi-023a,fmrt-ord-023,fmrt-var-rice-5kg,2,27500,22000,pcs
fmrt-oi-023b,fmrt-ord-023,fmrt-var-oil-1L,2,11500,8200,pcs
fmrt-oi-023c,fmrt-ord-023,fmrt-var-soysauce-350ml,2,3200,2100,pcs
fmrt-oi-024a,fmrt-ord-024,fmrt-var-detergent-1kg,2,18500,13200,pcs
fmrt-oi-024b,fmrt-ord-024,fmrt-var-dishwash-250ml,3,5500,3800,pcs
fmrt-oi-024c,fmrt-ord-024,fmrt-var-shampoo-180ml,1,18500,13500,pcs
fmrt-oi-025a,fmrt-ord-025,fmrt-var-chicken-whole,2,21500,15500,pcs
fmrt-oi-025b,fmrt-ord-025,fmrt-var-eggs-12pcs,2,10500,7800,pcs
fmrt-oi-025c,fmrt-ord-025,fmrt-var-tomato-500g,2,3500,2200,pcs
fmrt-oi-025d,fmrt-ord-025,fmrt-var-garlic-250g,2,6500,4500,pcs
fmrt-oi-026a,fmrt-ord-026,fmrt-var-skyflakes-800g,2,15500,11000,pcs
fmrt-oi-026b,fmrt-ord-026,fmrt-var-pancit-canton-orig,6,1500,900,pcs
fmrt-oi-026c,fmrt-ord-026,fmrt-var-juice-orange-250ml,4,2200,1400,pcs
fmrt-oi-027a,fmrt-ord-027,fmrt-var-rice-25kg,1,135000,108000,pcs
fmrt-oi-027b,fmrt-ord-027,fmrt-var-sardines-425g,2,6500,4500,pcs
fmrt-oi-027c,fmrt-ord-027,fmrt-var-cornbeef-175g,4,5500,3800,pcs
fmrt-oi-027d,fmrt-ord-027,fmrt-var-coke-1.5L,2,7500,5200,pcs
fmrt-oi-028a,fmrt-ord-028,fmrt-var-hotdog-500g,2,11500,8200,pcs
fmrt-oi-028b,fmrt-ord-028,fmrt-var-milk-1L,2,9500,7000,pcs
fmrt-oi-028c,fmrt-ord-028,fmrt-var-water-1.5L,2,2200,1300,pcs
fmrt-oi-029a,fmrt-ord-029,fmrt-var-rice-5kg,3,27500,22000,pcs
fmrt-oi-029b,fmrt-ord-029,fmrt-var-chicken-parts,2,12500,8800,pcs
fmrt-oi-029c,fmrt-ord-029,fmrt-var-oil-1L,1,11500,8200,pcs
fmrt-oi-030a,fmrt-ord-030,fmrt-var-soap-90g,6,3800,2600,pcs
fmrt-oi-030b,fmrt-ord-030,fmrt-var-shampoo-sachet,8,700,400,pcs
fmrt-oi-030c,fmrt-ord-030,fmrt-var-detergent-sachet,6,1200,700,pcs
fmrt-oi-031a,fmrt-ord-031,fmrt-var-rice-dino-5kg,3,32500,26000,pcs
fmrt-oi-031b,fmrt-ord-031,fmrt-var-eggs-12pcs,2,10500,7800,pcs
fmrt-oi-031c,fmrt-ord-031,fmrt-var-cheese-165g,2,7800,5500,pcs
fmrt-oi-031d,fmrt-ord-031,fmrt-var-coke-330ml,4,3500,2400,pcs
fmrt-oi-032a,fmrt-ord-032,fmrt-var-sardines-155g,4,2800,1900,pcs
fmrt-oi-032b,fmrt-ord-032,fmrt-var-cornbeef-175g,2,5500,3800,pcs
fmrt-oi-032c,fmrt-ord-032,fmrt-var-pancit-canton-orig,4,1500,900,pcs
fmrt-oi-032d,fmrt-ord-032,fmrt-var-water-500ml,4,1200,700,pcs
fmrt-oi-active-1a,fmrt-ord-active-1,fmrt-var-rice-5kg,2,27500,22000,pcs
fmrt-oi-active-1b,fmrt-ord-active-1,fmrt-var-eggs-12pcs,1,10500,7800,pcs
fmrt-oi-active-1c,fmrt-ord-active-1,fmrt-var-chicken-whole,1,21500,15500,pcs
fmrt-oi-active-1d,fmrt-ord-active-1,fmrt-var-coke-1.5L,2,7500,5200,pcs
