id,invoiceNo,orderId,cashierId,type,totalAmount,totalCost,taxAmount,bufferRate,priceConfiguration,invoiceType,ptuNumber,ptuIssuedAt
shub-txn-011,SI-SHB-2024-002011,shub-ord-011,shub-cash-1,SALE,387500,154000,41518,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-012,SI-SHB-2024-002012,shub-ord-012,shub-cash-2,SALE,479000,185000,51321,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-013,SI-SHB-2024-002013,shub-ord-013,shub-cash-1,SALE,438500,165000,46982,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-014,SI-SHB-2024-002014,shub-ord-014,shub-cash-2,SALE,439000,167000,47036,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-015,SI-SHB-2024-002015,shub-ord-015,shub-cash-1,SALE,378500,144000,40554,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-016,SI-SHB-2024-002016,shub-ord-016,shub-cash-2,SALE,599000,230000,64179,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-017,SI-SHB-2024-002017,shub-ord-017,shub-cash-1,SALE,288500,112000,30911,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-018,SI-SHB-2024-002018,shub-ord-018,shub-cash-2,SALE,458500,174000,49125,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-019,SI-SHB-2024-002019,shub-ord-019,shub-cash-1,SALE,268500,195000,28768,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-020,SI-SHB-2024-002020,shub-ord-020,shub-cash-2,SALE,319000,123000,34179,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-021,SI-SHB-2024-002021,shub-ord-021,shub-cash-1,SALE,279000,105000,29893,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-022,SI-SHB-2024-002022,shub-ord-022,shub-cash-2,SALE,378500,144000,40554,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-023,SI-SHB-2024-002023,shub-ord-023,shub-cash-1,SALE,399000,150000,42750,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-024,SI-SHB-2024-002024,shub-ord-024,shub-cash-2,SALE,348500,136000,37339,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-025,SI-SHB-2024-002025,shub-ord-025,shub-cash-1,SALE,528500,203000,56625,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-026,SI-SHB-2024-002026,shub-ord-026,shub-cash-2,SALE,409000,155000,43821,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-027,SI-SHB-2024-002027,shub-ord-027,shub-cash-1,SALE,408500,155000,43768,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-028,SI-SHB-2024-002028,shub-ord-028,shub-cash-2,SALE,319000,123000,34179,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-029,SI-SHB-2024-002029,shub-ord-029,shub-cash-1,SALE,368000,144000,39429,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-030,SI-SHB-2024-002030,shub-ord-030,shub-cash-2,SALE,369000,140000,39536,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-031,SI-SHB-2024-002031,shub-ord-031,shub-cash-1,SALE,478500,181000,51268,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-refund-src,SI-SHB-2024-002032,shub-ord-refund-src,shub-cash-1,SALE,479000,185000,51321,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
shub-txn-refund,RF-SHB-2024-000001,shub-ord-refund,shub-cash-2,REFUND,349500,135000,37446,30,INCLUSIVE,COLLECTION_RECEIPT,PTU-2024-SHB-001,03/01/2024
shub-txn-active-1,SI-SHB-2024-002034,shub-ord-active-1,shub-cash-1,SALE,528500,198000,56625,30,INCLUSIVE,SALES_INVOICE,PTU-2024-SHB-001,03/01/2024
